,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
799,337.0815961579337,383.9086877236146,205.26264442492032,349.31965526580126,304.23170337981765,250.53413095664422,4.156349872887215,1.8005094847874166,295.26476114427834,309.81696623094166,239.0427837160576,0.0
800,337.658594525888,383.9742915122196,205.4891665172395,349.4889751824816,304.23775879363643,250.71208314443265,4.152997547440159,1.8077450738677903,295.5602975436998,309.9881617441151,239.0299148141374,0.0
801,338.2589872840688,384.0146055783602,205.6538397075852,349.65804886490827,304.2450413990532,250.8708984532754,4.149254263044927,1.8117617744647865,295.8562698289993,310.16265024870677,239.01175987910452,0.0
802,338.9067482111438,384.05109823861613,205.7778627931139,349.85815850597703,304.2468325102224,251.01110688512858,4.14374534843471,1.812039769100714,296.13029398700365,310.3192971000931,238.98441103130733,0.0
803,339.58528880086254,384.0581673370746,205.873027545697,350.07055581672773,304.2550447681309,251.12986424595658,4.136650843048283,1.8083627319266178,296.4165101417637,310.4769131907743,238.95637956572568,0.0
804,340.3189905713132,384.0638709113333,206.0033856302615,350.27530904431757,304.255362539426,251.2430091630752,4.1296974404432545,1.7988119816197738,296.6971547537663,310.6565285543105,238.93526722275405,0.0
805,341.0883838750658,384.0622159226609,206.12790065593285,350.5292106434337,304.2645660387985,251.37881250937477,4.122566277827871,1.7831155418959737,296.9901502314009,310.8414332127312,238.91338704899218,0.0
806,341.85900283965333,384.07301395702734,206.24506689733388,350.76816813211593,304.28454337234876,251.5102338409775,4.116119228202821,1.7620164155137976,297.29979282415644,311.03920556372617,238.88400627442297,0.0
807,342.60235885076315,384.1008580061174,206.358377914058,351.01739023656984,304.30873308512713,251.62926096533366,4.111310167685457,1.736798418206577,297.6200554210695,311.22517882077375,238.83579603835412,0.0
808,343.3541655382274,384.11660368818684,206.48205594165506,351.2547896798146,304.33572287631875,251.75247912060547,4.108708474358405,1.7080578300854155,297.9558229755612,311.4003684423656,238.7975957810334,0.0
809,344.0907408934472,384.0807132380322,206.65314565524426,351.4897880791585,304.35286515392204,251.88175930890546,4.107449215768122,1.6774377604632178,298.2626857810256,311.5875396527162,238.77899724325292,0.0
810,344.8623522685214,384.0734609795241,206.8422105795213,351.7436580078008,304.391729500232,252.0398893393926,4.107055459183756,1.6467583043319933,298.6222160477852,311.80280147728894,238.7690949873008,0.0
811,345.6350348315478,384.0844486545946,207.08434491893271,352.0176530154349,304.4147015479074,252.24389576116815,4.107626682526199,1.6177798022517358,298.9942133529266,312.00242484751857,238.78046954757482,0.0
812,346.38687937086996,384.08169080263605,207.38481935303923,352.3372531295023,304.43654397399865,252.46266192897573,4.10871394134067,1.591414065615635,299.35643309431566,312.2167608443361,238.81890519868938,0.0
813,347.14656402000236,384.107599929911,207.7018210511306,352.6420950418608,304.45787232932645,252.69845858991332,4.1100683433107665,1.5694031573370881,299.7473429760614,312.44260676307226,238.86949073313747,0.0
814,347.92180518367957,384.1343296313522,208.05821481203787,352.9460356377043,304.5432493017433,252.9507208267013,4.111950558973184,1.5529156225026404,300.1206468064837,312.6783371655015,238.93422452312728,0.0
815,348.71769507684513,384.1428382611489,208.42266436075374,353.2483096655261,304.5930494770173,253.19500397682208,4.114100837407032,1.5421899355471425,300.514609998492,312.91536842011976,238.98785722177104,0.0
816,349.52709122272046,384.15232189169046,208.80689365024077,353.5739445714013,304.62708838870844,253.4262633237386,4.115573824368515,1.5367743129719416,300.898079653322,313.1580850293938,239.0383051740256,0.0
817,350.3279166749841,384.1126554588192,209.20783532268447,353.86954114801006,304.6757518155819,253.52125337365007,4.115924618908308,1.5359200799455517,301.2166747429563,313.39717977956826,239.15378074814126,0.0
818,351.15451306626346,384.0552562712419,209.55667270910467,354.14809533970697,304.70697659900014,253.64222312078212,4.11533922967762,1.5384089676871635,301.5261407021174,313.64061821741814,239.26718899106964,0.0
